,,,,,,,,
,Year,Salary (14),Type of Organization/Industry (15),Location of employment (17),,,,
,2013,"$90,000.00",Technology,"Seattle, WA, USA",,,,
,2013,"$80,000.00","Social Media, Technology","Menlo Park, California (Bay Area)",,,,
,2013,"$50,000.00","International Experience Organization, Technology - Computer Hardware/Software/Internet","Ann Arbor, Michigan",,,,
,2013,"$38,000.00",Academic Library/Archives,"Hays, KS, USA",,,,
,2013,"$35,000.00","K-12 School/Library, Public Library","Port Clinton, OH, USA",,,,
,2013,"$110,000.00",Defense/Aerospace,"Bethesda, MD, USA",,,,
,2013,"$46,000.00",Academic Library/Archives,"Huntington, WV",,,,
,2013,"$43,000.00",K12 School/Library,"Novi, Mi",,,,
,2013,"$45,000.00","Academic Library, Nonprofit","Sleepy Hollow, NY, USA",,,,
,2013,"$88,000.00","Entertainment, Technology - Computer Hardware/Software/Internet","San Francisco, CA, USA",,,,
,2013,"$48,000.00",Other: Commodity,"Plymouth, MN, USA",,,,
,2013,"$62,500.00",Marketing,"Ann Arbor, MI",,,,
,2013,"$45,000.00",Academic Library/Archives,"Philadelphia, PA",,,,
,2013,"$80,000.00",University/College,"La Jolla, CA",,,,
,2013,"$75,000.00","Automotive, Technology","Omaha, NE, USA",,,,
,2013,"$62,500.00",University/College,"Ann Arbor, MI, USA",,,,
,2013,"$40,000.00",Academic Library,"Ann Arbor, MI",,,,
,2013,"$55,000.00",University/College,"Ann Arbor, Mi, USA",,,,
,2013,"$62,500.00",University,"Ann Arbor, MI USA",,,,
,2013,"$37,500.00","Academic Library/Archives, Universitt/College","Evansville, IN, US",,,,
,2013,"$47,000.00","Academic Library/Archives, Universitt/College","Villanova, PA",,,,
,2013,"$41,000.00","Academic Library/Archives, Universitt/College","Wichita, KS, USA",,,,
,2013,"$107,000.00",Technology,"Sunnyvale, CA, USA",,,,
,2013,"$67,500.00",Defense/Aerospace,St. Louis MIssouri,,,,
,2013,"$85,000.00",Entertainment,San Francisco,,,,
,2013,"$77,500.00",Technology- Computer Hardware/Software/Internet,"Austin, Tx",,,,
,2013,"$67,000.00","Academic Library/Archives, Nonprofit, Technology- Computer Hardware/Software/Internet","Ann Arbor, MI, USA",,,,
,2013,"$105,000.00",Technology- Computer Hardware/Software/Internet,"New York, NY",,,,
,2013,"$95,000.00",Technology- Computer Hardware/Software/Internet,"Los Gatos, CA",,,,
,2013,"$64,000.00","Financial Services/Banking, Technology- Computer Hardware/Software/Internet","Phoenix,Arizona",,,,
,2013,"$48,000.00","Environmental/Natural Resources, Nonmetallic Mining and Manufacturing","Plymouth, MN, USA",,,,
,2013,"$47,500.00",Academic Library/Archives,"Ann Arbor, MI",,,,
,2013,"$77,500.00",University/College,"Ann Arbor, MI",,,,
,2013,"$38,000.00",Academic Library/Archives,"Ann Arbor, MI, USA",,,,
,2013,"$30,000.00",Academic Library/Archives,"Minneapolis, MN",,,,
,2013,"$110,000.00",Technology- Computer Hardware/Software/Internet,"San Francisco, CA",,,,
,2013,"$52,500.00",Research,"Champaign, IL, USA",,,,
,2013,"$75,000.00",Consulting,"Chicago, IL, USA",,,,
,2013,"$72,000.00",Consulting,"Houston, TX, USA",,,,
,2013,"$80,000.00",Technology,"Seattle, WA",,,,
,2013,"$65,000.00",Museum,"Sausalito, CA, United States",,,,
,2013,"$70,000.00",Consumer Goods,"Celina, OH U.S.A.",,,,
,2013,"$86,500.00",Technology,"San Jose, CA, USA",,,,
,2013,"$110,000.00",Technology- Computer Hardware/Software/Internet,"Santa Clara, CA, USA",,,,
,2013,"$32,500.00",Museum,"Detroti, Michigan, USA",,,,
,2013,"$62,500.00",Government,"Washington, District of Columbia",,,,
,2013,"$48,000.00","Academic Library/Archives, Government/Government Library/Archives, Nonprofit, University/College",n/a,,,,
,2013,"$78,000.00",Consulting,"Portland, OR",,,,
,2013,"$65,000.00","Healthcare, Technology","Madison, WI, USA",,,,
,2013,"$80,000.00","Healthcare, Technology","Verona, WI, USA",,,,
,2013,"$75,000.00","Healthcare, Technology","Madison, WI, USA",,,,
,2013,"$71,200.00",Corporate/Special/Law Library,"Dearborn, MI, USA",,,,
,2013,"$50,000.00","Academic Library, Museum, Research, Technology","Farmington, MI",,,,
,2013,"$70,000.00","Automotive/Transportation, Defense/Aerospace, Environmental/Natural Resources, Financial Services/Banking, Healthcare, Research, Other (please specify), Multinational Conglomorate","Currently Unknown - Potential - Van Buren Township, MI, Richmond, VA, Cincinnati, OH, Fairfield, CT",,,,
,2013,"$52,000.00",Multimedis/Publishing,"Philadelphia, PA",,,,
,2013,"$100,000.00",Start-up,"San Francisco, CA",,,,
,2013,"$62,500.00",Government/Government Library/Archives,"Washington, DC, USA",,,,
,2013,"$75,000.00","Marketing,","Ann Arbor, MI",,,,
,2013,"$105,000.00",Technology- Computer Hardware/Software/Internet,"Austin, Texas, USA",,,,
,2013,"$83,200.00",Multimedia/Publishing,"Ann Arbor, MI, USA",,,,
,2013,"$72,000.00","Consumer Goods, Technology, Other (E-Commerce)","Ann Arbor, MI",,,,
,2013,"$95,000.00","Start-Up (org type or started own business), Other(Late-stage retail/e-commerce fashion company)","San Francisco, CA",,,,
,2013,"$42,500.00",Multimedis/Publishing,"Ann Arbor, MI",,,,
,2013,"$65,000.00",Financial Services/Banking,"Detroit, MI USA",,,,
,2013,"$38,000.00",Public Library,"San Antonio, TX, USA",,,,
,2013,"$42,500.00",Public Library,"Skokie, IL, USA",,,,
,2013,"$60,000.00","Academic Library/Archives, Technology - Computer Hardware/Software/Internet","Swarthmore, Pennsylvania",,,,
,2013,"$66,000.00","Consulting, Start-Up (org type or started own business)","Ann Arbor, MI, USA",,,,
,2013,"$80,000.00","Start-Up, Technology - Computer Hardware/Software/Internet","Mountain View, CA",,,,
,2013,"$91,000.00",University/College,"College Park, MD",,,,
,2013,"$59,000.00",University/College,"Ann Arbor, MI",,,,
,2013,"$47,000.00","University, Other (Education)","Ann Arbor, MI",,,,
,2013,"$70,000.00",Academic Library/Archives,"Rochester, NY",,,,
,2013,"$58,000.00",Academic Library/Archives,"Toronto, Ontario, Canada",,,,
,2013,"$100,000.00","Start-Up (org type or started own business), Technology- Computer Hardware/Software/Internet","Palo Alto, CA, US",,,,
,2013,"$115,000.00",Technology,"Palo Alto, CA, US",,,,
,2013,"$49,000.00",Academic Library,"Chambersburg, PA, USA",,,,
,2013,"$73,000.00",Technology - Computer Hardware/Software/Internet,"Long Beach, CA",,,,
